LIN: INS  OP   MM FLAG  OPC STP   ADDR	    MEM BLOCK          MICROINSTRUCTION
--------------------------------------------------------------------------------------
057: LDA  01  [01|0011|0001|000] 000988   Code-block-1  04  40  04  40  02  00  00  00 
058: LDA  01  [10|0011|0001|000] 001188   Code-block-2  04  22  40  00  00  00  00  00 
059: LDA  01  [11|0011|0001|000] 001988   Code-block-3  00  00  00  08  00  00  00  00 
060: LDA  01  [01|0100|0001|000] 000A08   Code-block-1  04  40  04  40  02  00  00  00 
061: LDA  01  [10|0100|0001|000] 001208   Code-block-2  04  22  40  00  00  00  00  00 
062: LDA  01  [11|0100|0001|000] 001A08   Code-block-3  00  00  00  08  00  00  00  00 
063: LDA  01  [01|0101|0001|000] 000A88   Code-block-1  04  40  04  40  02  00  00  00 
064: LDA  01  [10|0101|0001|000] 001288   Code-block-2  04  22  40  00  00  00  00  00 
065: LDA  01  [11|0101|0001|000] 001A88   Code-block-3  00  00  00  08  00  00  00  00 
066: LDA  01  [01|0110|0001|000] 000B08   Code-block-1  04  40  04  40  02  00  00  00 
067: LDA  01  [10|0110|0001|000] 001308   Code-block-2  04  22  40  00  00  00  00  00 
068: LDA  01  [11|0110|0001|000] 001B08   Code-block-3  00  00  00  08  00  00  00  00 
069: LDA  01  [01|0111|0001|000] 000B88   Code-block-1  04  40  04  40  02  00  00  00 
070: LDA  01  [10|0111|0001|000] 001388   Code-block-2  04  22  40  00  00  00  00  00 
071: LDA  01  [11|0111|0001|000] 001B88   Code-block-3  00  00  00  08  00  00  00  00 
072: LDA  01  [01|1000|0001|000] 000C08   Code-block-1  04  40  04  40  02  00  00  00 
073: LDA  01  [10|1000|0001|000] 001408   Code-block-2  04  22  40  00  00  00  00  00 
074: LDA  01  [11|1000|0001|000] 001C08   Code-block-3  00  00  00  08  00  00  00  00 
075: LDA  01  [01|1001|0001|000] 000C88   Code-block-1  04  40  04  40  02  00  00  00 
076: LDA  01  [10|1001|0001|000] 001488   Code-block-2  04  22  40  00  00  00  00  00 
077: LDA  01  [11|1001|0001|000] 001C88   Code-block-3  00  00  00  08  00  00  00  00 
078: LDA  01  [01|1010|0001|000] 000D08   Code-block-1  04  40  04  40  02  00  00  00 
079: LDA  01  [10|1010|0001|000] 001508   Code-block-2  04  22  40  00  00  00  00  00 
080: LDA  01  [11|1010|0001|000] 001D08   Code-block-3  00  00  00  08  00  00  00  00 
081: LDA  01  [01|1011|0001|000] 000D88   Code-block-1  04  40  04  40  02  00  00  00 
082: LDA  01  [10|1011|0001|000] 001588   Code-block-2  04  22  40  00  00  00  00  00 
083: LDA  01  [11|1011|0001|000] 001D88   Code-block-3  00  00  00  08  00  00  00  00 
084: LDA  01  [01|1100|0001|000] 000E08   Code-block-1  04  40  04  40  02  00  00  00 
085: LDA  01  [10|1100|0001|000] 001608   Code-block-2  04  22  40  00  00  00  00  00 
086: LDA  01  [11|1100|0001|000] 001E08   Code-block-3  00  00  00  08  00  00  00  00 
087: LDA  01  [01|1101|0001|000] 000E88   Code-block-1  04  40  04  40  02  00  00  00 
088: LDA  01  [10|1101|0001|000] 001688   Code-block-2  04  22  40  00  00  00  00  00 
089: LDA  01  [11|1101|0001|000] 001E88   Code-block-3  00  00  00  08  00  00  00  00 
090: LDA  01  [01|1110|0001|000] 000F08   Code-block-1  04  40  04  40  02  00  00  00 
091: LDA  01  [10|1110|0001|000] 001708   Code-block-2  04  22  40  00  00  00  00  00 
092: LDA  01  [11|1110|0001|000] 001F08   Code-block-3  00  00  00  08  00  00  00  00 
093: LDA  01  [01|1111|0001|000] 000F88   Code-block-1  04  40  04  40  02  00  00  00 
094: LDA  01  [10|1111|0001|000] 001788   Code-block-2  04  22  40  00  00  00  00  00 
095: LDA  01  [11|1111|0001|000] 001F88   Code-block-3  00  00  00  08  00  00  00  00 
096: ADD  02  [01|0000|0010|000] 000810   Code-block-1  04  40  04  40  00  02  00  00 
097: ADD  02  [10|0000|0010|000] 001010   Code-block-2  04  22  40  00  10  00  00  00 
098: ADD  02  [11|0000|0010|000] 001810   Code-block-3  00  00  00  02  48  00  00  00 
099: ADD  02  [01|0001|0010|000] 000890   Code-block-1  04  40  04  40  00  02  00  00 
100: ADD  02  [10|0001|0010|000] 001090   Code-block-2  04  22  40  00  10  00  00  00 
101: ADD  02  [11|0001|0010|000] 001890   Code-block-3  00  00  00  02  48  00  00  00 
102: ADD  02  [01|0010|0010|000] 000910   Code-block-1  04  40  04  40  00  02  00  00 
103: ADD  02  [10|0010|0010|000] 001110   Code-block-2  04  22  40  00  10  00  00  00 
104: ADD  02  [11|0010|0010|000] 001910   Code-block-3  00  00  00  02  48  00  00  00 
105: ADD  02  [01|0011|0010|000] 000990   Code-block-1  04  40  04  40  00  02  00  00 
106: ADD  02  [10|0011|0010|000] 001190   Code-block-2  04  22  40  00  10  00  00  00 
107: ADD  02  [11|0011|0010|000] 001990   Code-block-3  00  00  00  02  48  00  00  00 
108: ADD  02  [01|0100|0010|000] 000A10   Code-block-1  04  40  04  40  00  02  00  00 
109: ADD  02  [10|0100|0010|000] 001210   Code-block-2  04  22  40  00  10  00  00  00 
110: ADD  02  [11|0100|0010|000] 001A10   Code-block-3  00  00  00  02  48  00  00  00 
111: ADD  02  [01|0101|0010|000] 000A90   Code-block-1  04  40  04  40  00  02  00  00 
112: ADD  02  [10|0101|0010|000] 001290   Code-block-2  04  22  40  00  10  00  00  00 
113: ADD  02  [11|0101|0010|000] 001A90   Code-block-3  00  00  00  02  48  00  00  00 
114: ADD  02  [01|0110|0010|000] 000B10   Code-block-1  04  40  04  40  00  02  00  00 
115: ADD  02  [10|0110|0010|000] 001310   Code-block-2  04  22  40  00  10  00  00  00 
116: ADD  02  [11|0110|0010|000] 001B10   Code-block-3  00  00  00  02  48  00  00  00 
117: ADD  02  [01|0111|0010|000] 000B90   Code-block-1  04  40  04  40  00  02  00  00 
118: ADD  02  [10|0111|0010|000] 001390   Code-block-2  04  22  40  00  10  00  00  00 
119: ADD  02  [11|0111|0010|000] 001B90   Code-block-3  00  00  00  02  48  00  00  00 
120: ADD  02  [01|1000|0010|000] 000C10   Code-block-1  04  40  04  40  00  02  00  00 
121: ADD  02  [10|1000|0010|000] 001410   Code-block-2  04  22  40  00  10  00  00  00 
122: ADD  02  [11|1000|0010|000] 001C10   Code-block-3  00  00  00  02  48  00  00  00 
123: ADD  02  [01|1001|0010|000] 000C90   Code-block-1  04  40  04  40  00  02  00  00 
124: ADD  02  [10|1001|0010|000] 001490   Code-block-2  04  22  40  00  10  00  00  00 
125: ADD  02  [11|1001|0010|000] 001C90   Code-block-3  00  00  00  02  48  00  00  00 
126: ADD  02  [01|1010|0010|000] 000D10   Code-block-1  04  40  04  40  00  02  00  00 
127: ADD  02  [10|1010|0010|000] 001510   Code-block-2  04  22  40  00  10  00  00  00 
128: ADD  02  [11|1010|0010|000] 001D10   Code-block-3  00  00  00  02  48  00  00  00 
129: ADD  02  [01|1011|0010|000] 000D90   Code-block-1  04  40  04  40  00  02  00  00 
130: ADD  02  [10|1011|0010|000] 001590   Code-block-2  04  22  40  00  10  00  00  00 
131: ADD  02  [11|1011|0010|000] 001D90   Code-block-3  00  00  00  02  48  00  00  00 
132: ADD  02  [01|1100|0010|000] 000E10   Code-block-1  04  40  04  40  00  02  00  00 
133: ADD  02  [10|1100|0010|000] 001610   Code-block-2  04  22  40  00  10  00  00  00 
134: ADD  02  [11|1100|0010|000] 001E10   Code-block-3  00  00  00  02  48  00  00  00 
135: ADD  02  [01|1101|0010|000] 000E90   Code-block-1  04  40  04  40  00  02  00  00 
136: ADD  02  [10|1101|0010|000] 001690   Code-block-2  04  22  40  00  10  00  00  00 
137: ADD  02  [11|1101|0010|000] 001E90   Code-block-3  00  00  00  02  48  00  00  00 
138: ADD  02  [01|1110|0010|000] 000F10   Code-block-1  04  40  04  40  00  02  00  00 
139: ADD  02  [10|1110|0010|000] 001710   Code-block-2  04  22  40  00  10  00  00  00 
140: ADD  02  [11|1110|0010|000] 001F10   Code-block-3  00  00  00  02  48  00  00  00 
141: ADD  02  [01|1111|0010|000] 000F90   Code-block-1  04  40  04  40  00  02  00  00 
142: ADD  02  [10|1111|0010|000] 001790   Code-block-2  04  22  40  00  10  00  00  00 
143: ADD  02  [11|1111|0010|000] 001F90   Code-block-3  00  00  00  02  48  00  00  00 
144: SUB  03  [01|0000|0011|000] 000818   Code-block-1  04  40  04  40  00  02  00  00 
145: SUB  03  [10|0000|0011|000] 001018   Code-block-2  04  22  40  00  10  00  00  00 
146: SUB  03  [11|0000|0011|000] 001818   Code-block-3  00  00  00  02  68  00  00  00 
147: SUB  03  [01|0001|0011|000] 000898   Code-block-1  04  40  04  40  00  02  00  00 
148: SUB  03  [10|0001|0011|000] 001098   Code-block-2  04  22  40  00  10  00  00  00 
149: SUB  03  [11|0001|0011|000] 001898   Code-block-3  00  00  00  02  68  00  00  00 
150: SUB  03  [01|0010|0011|000] 000918   Code-block-1  04  40  04  40  00  02  00  00 
151: SUB  03  [10|0010|0011|000] 001118   Code-block-2  04  22  40  00  10  00  00  00 
152: SUB  03  [11|0010|0011|000] 001918   Code-block-3  00  00  00  02  68  00  00  00 
153: SUB  03  [01|0011|0011|000] 000998   Code-block-1  04  40  04  40  00  02  00  00 
154: SUB  03  [10|0011|0011|000] 001198   Code-block-2  04  22  40  00  10  00  00  00 
155: SUB  03  [11|0011|0011|000] 001998   Code-block-3  00  00  00  02  68  00  00  00 
156: SUB  03  [01|0100|0011|000] 000A18   Code-block-1  04  40  04  40  00  02  00  00 
157: SUB  03  [10|0100|0011|000] 001218   Code-block-2  04  22  40  00  10  00  00  00 
158: SUB  03  [11|0100|0011|000] 001A18   Code-block-3  00  00  00  02  68  00  00  00 
159: SUB  03  [01|0101|0011|000] 000A98   Code-block-1  04  40  04  40  00  02  00  00 
160: SUB  03  [10|0101|0011|000] 001298   Code-block-2  04  22  40  00  10  00  00  00 
161: SUB  03  [11|0101|0011|000] 001A98   Code-block-3  00  00  00  02  68  00  00  00 
162: SUB  03  [01|0110|0011|000] 000B18   Code-block-1  04  40  04  40  00  02  00  00 
163: SUB  03  [10|0110|0011|000] 001318   Code-block-2  04  22  40  00  10  00  00  00 
164: SUB  03  [11|0110|0011|000] 001B18   Code-block-3  00  00  00  02  68  00  00  00 
165: SUB  03  [01|0111|0011|000] 000B98   Code-block-1  04  40  04  40  00  02  00  00 
166: SUB  03  [10|0111|0011|000] 001398   Code-block-2  04  22  40  00  10  00  00  00 
167: SUB  03  [11|0111|0011|000] 001B98   Code-block-3  00  00  00  02  68  00  00  00 
168: SUB  03  [01|1000|0011|000] 000C18   Code-block-1  04  40  04  40  00  02  00  00 
169: SUB  03  [10|1000|0011|000] 001418   Code-block-2  04  22  40  00  10  00  00  00 
170: SUB  03  [11|1000|0011|000] 001C18   Code-block-3  00  00  00  02  68  00  00  00 
171: SUB  03  [01|1001|0011|000] 000C98   Code-block-1  04  40  04  40  00  02  00  00 
172: SUB  03  [10|1001|0011|000] 001498   Code-block-2  04  22  40  00  10  00  00  00 
173: SUB  03  [11|1001|0011|000] 001C98   Code-block-3  00  00  00  02  68  00  00  00 
174: SUB  03  [01|1010|0011|000] 000D18   Code-block-1  04  40  04  40  00  02  00  00 
175: SUB  03  [10|1010|0011|000] 001518   Code-block-2  04  22  40  00  10  00  00  00 
176: SUB  03  [11|1010|0011|000] 001D18   Code-block-3  00  00  00  02  68  00  00  00 
177: SUB  03  [01|1011|0011|000] 000D98   Code-block-1  04  40  04  40  00  02  00  00 
178: SUB  03  [10|1011|0011|000] 001598   Code-block-2  04  22  40  00  10  00  00  00 
179: SUB  03  [11|1011|0011|000] 001D98   Code-block-3  00  00  00  02  68  00  00  00 
180: SUB  03  [01|1100|0011|000] 000E18   Code-block-1  04  40  04  40  00  02  00  00 
181: SUB  03  [10|1100|0011|000] 001618   Code-block-2  04  22  40  00  10  00  00  00 
182: SUB  03  [11|1100|0011|000] 001E18   Code-block-3  00  00  00  02  68  00  00  00 
183: SUB  03  [01|1101|0011|000] 000E98   Code-block-1  04  40  04  40  00  02  00  00 
184: SUB  03  [10|1101|0011|000] 001698   Code-block-2  04  22  40  00  10  00  00  00 
185: SUB  03  [11|1101|0011|000] 001E98   Code-block-3  00  00  00  02  68  00  00  00 
186: SUB  03  [01|1110|0011|000] 000F18   Code-block-1  04  40  04  40  00  02  00  00 
187: SUB  03  [10|1110|0011|000] 001718   Code-block-2  04  22  40  00  10  00  00  00 
188: SUB  03  [11|1110|0011|000] 001F18   Code-block-3  00  00  00  02  68  00  00  00 
189: SUB  03  [01|1111|0011|000] 000F98   Code-block-1  04  40  04  40  00  02  00  00 
190: SUB  03  [10|1111|0011|000] 001798   Code-block-2  04  22  40  00  10  00  00  00 
191: SUB  03  [11|1111|0011|000] 001F98   Code-block-3  00  00  00  02  68  00  00  00 
192: STA  04  [01|0000|0100|000] 000820   Code-block-1  04  40  04  20  02  00  00  00 
193: STA  04  [10|0000|0100|000] 001020   Code-block-2  04  22  40  00  00  00  00  00 
194: STA  04  [11|0000|0100|000] 001820   Code-block-3  00  00  00  10  00  00  00  00 
195: STA  04  [01|0001|0100|000] 0008A0   Code-block-1  04  40  04  20  02  00  00  00 
196: STA  04  [10|0001|0100|000] 0010A0   Code-block-2  04  22  40  00  00  00  00  00 
197: STA  04  [11|0001|0100|000] 0018A0   Code-block-3  00  00  00  10  00  00  00  00 
198: STA  04  [01|0010|0100|000] 000920   Code-block-1  04  40  04  20  02  00  00  00 
199: STA  04  [10|0010|0100|000] 001120   Code-block-2  04  22  40  00  00  00  00  00 
200: STA  04  [11|0010|0100|000] 001920   Code-block-3  00  00  00  10  00  00  00  00 
201: STA  04  [01|0011|0100|000] 0009A0   Code-block-1  04  40  04  20  02  00  00  00 
202: STA  04  [10|0011|0100|000] 0011A0   Code-block-2  04  22  40  00  00  00  00  00 
203: STA  04  [11|0011|0100|000] 0019A0   Code-block-3  00  00  00  10  00  00  00  00 
204: STA  04  [01|0100|0100|000] 000A20   Code-block-1  04  40  04  20  02  00  00  00 
205: STA  04  [10|0100|0100|000] 001220   Code-block-2  04  22  40  00  00  00  00  00 
206: STA  04  [11|0100|0100|000] 001A20   Code-block-3  00  00  00  10  00  00  00  00 
207: STA  04  [01|0101|0100|000] 000AA0   Code-block-1  04  40  04  20  02  00  00  00 
208: STA  04  [10|0101|0100|000] 0012A0   Code-block-2  04  22  40  00  00  00  00  00 
209: STA  04  [11|0101|0100|000] 001AA0   Code-block-3  00  00  00  10  00  00  00  00 
210: STA  04  [01|0110|0100|000] 000B20   Code-block-1  04  40  04  20  02  00  00  00 
211: STA  04  [10|0110|0100|000] 001320   Code-block-2  04  22  40  00  00  00  00  00 
212: STA  04  [11|0110|0100|000] 001B20   Code-block-3  00  00  00  10  00  00  00  00 
213: STA  04  [01|0111|0100|000] 000BA0   Code-block-1  04  40  04  20  02  00  00  00 
214: STA  04  [10|0111|0100|000] 0013A0   Code-block-2  04  22  40  00  00  00  00  00 
215: STA  04  [11|0111|0100|000] 001BA0   Code-block-3  00  00  00  10  00  00  00  00 
216: STA  04  [01|1000|0100|000] 000C20   Code-block-1  04  40  04  20  02  00  00  00 
